cid,#sim,day,budget,start,end,vidCoeff,mobCoeff,reach,demand,publisher,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,completion_precentage,profit,decision
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
9,,2,5000,3,7,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
10,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,1,1,0,0,0.9,20,1
11,,2,5000,3,7,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,0,-1
12,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,1,1,0.8,10,-1
13,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,30,1
14,,2,5000,3,7,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
15,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
16,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,0.9,20,1
17,,3,5000,4,8,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,1,0,0.4,40,-1
18,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,1,0.8,4,-1
19,,3,5000,4,8,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
20,,3,5000,4,8,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
21,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,50,1
22,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,1,1,0,0,0.9,0,-1
23,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,1,1,0,0.4,10,-1
24,,3,5000,4,8,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,1,1,0.8,12,1
25,,4,5000,5,9,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
26,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
27,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,20,1
28,,4,5000,5,9,1.1,1.3,5000,0.05,1,1,1,0,0,1,1,0,0,0.9,13,1
29,,4,5000,5,9,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,4,-1
30,,4,5000,5,9,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,1,1,0.8,3,-1
31,,4,5000,5,9,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
32,,4,5000,5,9,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,14,1
1,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
2,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.9,-4,-1
3,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
4,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,1,3,1
5,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,1,1,0,1,20,1
6,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,1,1,0.8,-5,-1
7,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,0,0,1,4,1
8,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.7,-4,-1
,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,0,0,0,1,20,1
,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,0,0,1,-5,-1
,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,0,1,4,1
,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,1,1,3,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
9,,2,5000,3,7,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
10,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,1,1,0,0,0.9,20,1
11,,2,5000,3,7,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,0,-1
12,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,1,1,0.8,10,-1
13,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,30,1
14,,2,5000,3,7,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
15,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
16,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,0.9,20,1
17,,3,5000,4,8,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,1,0,0.4,40,-1
18,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,1,0.8,4,-1
19,,3,5000,4,8,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
20,,3,5000,4,8,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
21,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,50,1
22,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,1,1,0,0,0.9,0,-1
23,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,1,1,0,0.4,10,-1
24,,3,5000,4,8,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,1,1,0.8,12,1
25,,4,5000,5,9,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
26,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
27,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,20,1
28,,4,5000,5,9,1.1,1.3,5000,0.05,1,1,1,0,0,1,1,0,0,0.9,13,1
29,,4,5000,5,9,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,4,-1
30,,4,5000,5,9,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,1,1,0.8,3,-1
31,,4,5000,5,9,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
32,,4,5000,5,9,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,14,1
1,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
2,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.9,-4,-1
3,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
4,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,1,3,1
5,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,1,1,0,1,20,1
6,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,1,1,0.8,-5,-1
7,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,0,0,1,4,1
8,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.7,-4,-1
,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,0,0,0,1,20,1
,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,0,0,1,-5,-1
,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,0,1,4,1
,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,1,1,3,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
9,,2,5000,3,7,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
10,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,1,1,0,0,0.9,20,1
11,,2,5000,3,7,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,0,-1
12,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,1,1,0.8,10,-1
13,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,30,1
14,,2,5000,3,7,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
15,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
16,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,0.9,20,1
17,,3,5000,4,8,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,1,0,0.4,40,-1
18,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,1,0.8,4,-1
19,,3,5000,4,8,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
20,,3,5000,4,8,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
21,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,50,1
22,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,1,1,0,0,0.9,0,-1
23,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,1,1,0,0.4,10,-1
24,,3,5000,4,8,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,1,1,0.8,12,1
25,,4,5000,5,9,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
26,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
27,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,20,1
28,,4,5000,5,9,1.1,1.3,5000,0.05,1,1,1,0,0,1,1,0,0,0.9,13,1
29,,4,5000,5,9,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,4,-1
30,,4,5000,5,9,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,1,1,0.8,3,-1
31,,4,5000,5,9,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
32,,4,5000,5,9,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,14,1
1,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
2,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.9,-4,-1
3,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
4,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,1,3,1
5,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,1,1,0,1,20,1
6,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,1,1,0.8,-5,-1
7,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,0,0,1,4,1
8,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,10,1
,,1,5000,2,6,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,0.7,-4,-1
,,1,5000,2,6,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
,,1,5000,2,6,1.1,1.3,5000,0.09,1,1,1,0,0,1,0,0,0,1,20,1
,,1,5000,2,6,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,0,0,1,-5,-1
,,1,5000,2,6,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,0,1,4,1
,,1,5000,2,6,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,1,1,3,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,60,1
,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,1,0,0,0,1,90,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,70,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,50,1
,,2,5000,3,7,1.1,1.3,5000,0.05,1,1,1,0,0,0,0,0,0,1,80,1
9,,2,5000,3,7,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
10,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,1,1,0,0,0.9,20,1
11,,2,5000,3,7,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,0,-1
12,,2,5000,3,7,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,1,1,0.8,10,-1
13,,2,5000,3,7,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,0,0,1,30,1
14,,2,5000,3,7,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
15,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
16,,2,5000,3,7,1.1,1.3,5000,0.09,1,1,1,0,0,1,1,0,0,0.9,20,1
17,,3,5000,4,8,1.1,1.3,5000,0.05,1,1,1,0,0,0,1,1,0,0.4,40,-1
18,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,0,0,1,1,0.8,4,-1
19,,3,5000,4,8,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,0,0,1,3,1
20,,3,5000,4,8,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
21,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,50,1
22,,3,5000,4,8,1.1,1.3,5000,0.04,1,1,1,0,0,1,1,0,0,0.9,0,-1
23,,3,5000,4,8,1.1,1.3,5000,0.06,1,1,1,0,0,0,1,1,0,0.4,10,-1
24,,3,5000,4,8,1.1,1.3,5000,0.07,1,1,1,0,0,0,0,1,1,0.8,12,1
25,,4,5000,5,9,1.1,1.3,5000,0.08,1,1,1,0,0,0,0,0,0,1,5,1
26,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,3,1
27,,4,5000,5,9,1.1,1.3,5000,0.09,1,1,1,0,0,0,0,0,0,1,20,1
28,,4,5000,5,9,1.1,1.3,5000,0.05,1,1,1,0,0,1,1,0,0,0.9,13,1
29,,4,5000,5,9,1.1,1.3,5000,0.04,1,1,1,0,0,0,1,1,0,0.4,4,-1
30,,4,5000,5,9,1.1,1.3,5000,0.03,1,1,1,0,0,0,0,1,1,0.8,3,-1
31,,4,5000,5,9,1.1,1.3,5000,0.02,1,1,1,0,0,0,0,0,0,1,6,1
32,,4,5000,5,9,1.1,1.3,5000,0.06,1,1,1,0,0,0,0,0,0,1,14,1
